Div,Date,Season,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HomePoint,AwayPoint,HomeDiff,AwayDiff,HomeRank,AwayRank,HomeGF,HomeGA,AwayGF,AwayGA
I1,20/10/2024,2024-2025,Roma,Inter,0.0,1.0,A,0.0,0.0,D,14.0,11.0,3.0,6.0,12.0,13.0,3.0,3.0,2.0,3.0,0.0,0.0,10,14,3,7,10,3,8,5,16,9
I1,21/10/2024,2024-2025,Verona,Monza,0.0,3.0,A,0.0,1.0,A,16.0,10.0,4.0,4.0,8.0,13.0,9.0,6.0,3.0,2.0,0.0,0.0,9,4,0,-4,12,19,12,12,5,9
I1,25/10/2024,2024-2025,Udinese,Cagliari,2.0,0.0,H,1.0,0.0,H,13.0,3.0,4.0,0.0,13.0,9.0,2.0,4.0,2.0,3.0,0.0,1.0,13,9,-1,-5,8,15,10,11,8,13
I1,25/10/2024,2024-2025,Torino,Como,1.0,0.0,H,0.0,0.0,D,8.0,20.0,2.0,6.0,13.0,12.0,1.0,3.0,3.0,3.0,0.0,0.0,11,9,0,-4,9,14,14,14,11,15
I1,26/10/2024,2024-2025,Napoli,Lecce,1.0,0.0,H,0.0,0.0,D,24.0,11.0,8.0,2.0,13.0,7.0,16.0,5.0,3.0,2.0,0.0,0.0,19,5,10,-15,1,19,15,5,3,18
I1,26/10/2024,2024-2025,Atalanta,Verona,6.0,1.0,H,5.0,1.0,H,19.0,4.0,10.0,2.0,3.0,15.0,4.0,2.0,0.0,1.0,0.0,0.0,13,9,5,-3,8,13,18,13,12,15
I1,27/10/2024,2024-2025,Parma,Empoli,1.0,1.0,D,0.0,1.0,A,17.0,6.0,4.0,2.0,12.0,17.0,9.0,3.0,4.0,5.0,0.0,0.0,7,10,-2,1,17,11,11,13,6,5
I1,27/10/2024,2024-2025,Lazio,Genoa,3.0,0.0,H,1.0,0.0,H,18.0,6.0,4.0,2.0,12.0,6.0,7.0,4.0,3.0,1.0,0.0,0.0,13,6,2,-10,9,18,14,12,7,17
I1,27/10/2024,2024-2025,Monza,Venezia,2.0,2.0,D,2.0,2.0,D,13.0,6.0,2.0,2.0,17.0,16.0,4.0,3.0,4.0,2.0,1.0,0.0,7,4,-1,-9,17,20,8,9,5,14
I1,27/10/2024,2024-2025,Inter,Juventus,4.0,4.0,D,3.0,2.0,H,18.0,10.0,9.0,5.0,11.0,16.0,13.0,5.0,2.0,1.0,0.0,0.0,17,16,8,10,2,4,17,9,11,1
I1,27/10/2024,2024-2025,Fiorentina,Roma,5.0,1.0,H,3.0,1.0,H,21.0,14.0,10.0,5.0,13.0,11.0,6.0,2.0,2.0,5.0,0.0,1.0,13,10,7,2,9,11,15,8,8,6
I1,29/10/2024,2024-2025,Cagliari,Bologna,0.0,2.0,A,0.0,1.0,A,14.0,11.0,2.0,4.0,17.0,18.0,7.0,2.0,2.0,2.0,0.0,0.0,9,9,-7,-2,14,12,8,15,9,11
I1,29/10/2024,2024-2025,Lecce,Verona,1.0,0.0,H,0.0,0.0,D,14.0,7.0,6.0,1.0,14.0,21.0,3.0,4.0,1.0,3.0,0.0,2.0,5,9,-16,-8,20,14,3,19,13,21
I1,29/10/2024,2024-2025,Milan,Napoli,0.0,2.0,A,0.0,2.0,A,13.0,9.0,5.0,4.0,14.0,6.0,5.0,1.0,0.0,1.0,0.0,0.0,14,22,7,11,8,1,16,9,16,5
I1,30/10/2024,2024-2025,Empoli,Inter,0.0,3.0,A,0.0,0.0,D,6.0,15.0,1.0,5.0,12.0,13.0,1.0,4.0,1.0,1.0,1.0,0.0,11,18,1,8,11,2,7,6,21,13
I1,30/10/2024,2024-2025,Venezia,Udinese,3.0,2.0,H,1.0,2.0,A,18.0,15.0,7.0,5.0,9.0,13.0,2.0,6.0,3.0,4.0,0.0,1.0,5,16,-9,1,20,7,7,16,12,11
I1,30/10/2024,2024-2025,Atalanta,Monza,2.0,0.0,H,0.0,0.0,D,16.0,4.0,6.0,3.0,14.0,11.0,5.0,1.0,2.0,3.0,0.0,0.0,16,8,10,-1,5,16,24,14,10,11
I1,30/10/2024,2024-2025,Juventus,Parma,2.0,2.0,D,1.0,2.0,A,24.0,13.0,6.0,5.0,7.0,5.0,10.0,6.0,2.0,0.0,0.0,0.0,17,8,10,-2,4,16,15,5,12,14
I1,31/10/2024,2024-2025,Genoa,Fiorentina,0.0,1.0,A,0.0,0.0,D,14.0,12.0,4.0,4.0,13.0,10.0,4.0,4.0,4.0,2.0,0.0,0.0,6,16,-13,11,20,5,7,20,20,9
I1,31/10/2024,2024-2025,Como,Lazio,1.0,5.0,A,0.0,2.0,A,14.0,14.0,2.0,7.0,14.0,18.0,3.0,5.0,2.0,5.0,1.0,1.0,9,16,-5,5,14,6,11,16,17,12
I1,31/10/2024,2024-2025,Roma,Torino,1.0,0.0,H,1.0,0.0,H,10.0,4.0,3.0,2.0,11.0,15.0,3.0,5.0,2.0,2.0,0.0,0.0,10,14,-2,1,12,9,9,11,15,14
I1,02/11/2024,2024-2025,Bologna,Lecce,1.0,0.0,H,0.0,0.0,D,20.0,6.0,4.0,0.0,9.0,14.0,9.0,1.0,2.0,2.0,0.0,0.0,12,8,0,-15,11,19,11,11,4,19
I1,02/11/2024,2024-2025,Udinese,Juventus,0.0,2.0,A,0.0,2.0,A,11.0,11.0,2.0,5.0,12.0,14.0,10.0,3.0,2.0,2.0,0.0,0.0,16,18,0,10,7,6,14,14,17,7
I1,02/11/2024,2024-2025,Monza,Milan,0.0,1.0,A,0.0,1.0,A,12.0,18.0,2.0,7.0,18.0,15.0,3.0,5.0,2.0,1.0,0.0,0.0,8,14,-3,5,17,9,10,13,16,11
